Festo,DST
-230.5,-98.6
-230.5,-98.6
-230.5,-98.5
-230.5,-98.4
-230.6,-98.4
-230.7,-98.4
-230.7,-98.4
-230.6,-98.4
-230.5,-98.4
-230.4,-98.5
-230.3,-98.5
-230.3,-98.6
-230.3,-98.7
-230.3,-98.7
-230.2,-98.7
-230.1,-98.7
-230.1,-98.7
-230.0,-98.8
-230.0,-98.9
-230.0,-99.0
-230.0,-99.2
-230.0,-99.3
-230.0,-99.5
-230.0,-99.6
-230.0,-99.6
-230.1,-99.5
-230.1,-99.3
-230.1,-99.2
-230.1,-99.1
-230.2,-99.0
-230.3,-98.9
-230.4,-98.8
-230.5,-98.8
-230.4,-98.7
-230.3,-98.8
-230.2,-98.8
-230.2,-98.8
-230.2,-98.7
-230.2,-98.5
-230.3,-98.4
-230.4,-98.3
-230.5,-98.3
-230.6,-98.3
-230.7,-98.3
-230.7,-98.3
-230.6,-98.3
-230.5,-98.4
-230.4,-98.4
-230.2,-98.4
-230.2,-98.4
-230.3,-98.3
-230.3,-98.3
-230.4,-98.3
-230.6,-98.3
-230.7,-98.4
-230.9,-98.6
-231.0,-98.8
-231.0,-98.9
-230.9,-99.0
-230.8,-99.0
-230.6,-99.0
-230.5,-98.9
-230.4,-98.8
-230.4,-98.8
-230.4,-98.7
-230.4,-98.7
-230.4,-98.7
-230.3,-98.8
-230.3,-98.8
-230.2,-98.8
-230.2,-98.9
-230.3,-98.9
-230.3,-99.0
-230.4,-98.9
-230.5,-98.9
-230.5,-98.9
-230.6,-99.1
-230.6,-99.4
-230.6,-99.7
-230.7,-99.9
-230.7,-100.0
-230.6,-100.1
-230.6,-100.2
-230.6,-99.9
-230.7,-99.7
-230.9,-99.7
-230.9,-99.4
-231.0,-99.6
-231.0,-99.9
-230.9,-99.9
-230.8,-100.2
-230.8,-100.3
-230.7,-100.4
-230.6,-100.5
-230.5,-100.2
-230.5,-100.0
-230.4,-99.8
-230.4,-99.5
-230.3,-99.6
-230.3,-99.5
-230.3,-99.5
-230.3,-99.6
-230.3,-99.6
-230.3,-99.6
-230.4,-99.5
-230.5,-99.2
-230.6,-99.0
-230.6,-99.0
-230.6,-98.9
-230.6,-99.0
-230.6,-99.1
-230.6,-99.1
-230.5,-99.1
-230.5,-99.1
-230.5,-99.0
-230.5,-99.0
-230.5,-98.9
-230.5,-98.6
-230.6,-98.3
-230.7,-98.0
-230.7,-97.8
-230.6,-97.7
-230.5,-97.6
-230.5,-97.6
-230.4,-97.6
-230.4,-97.6
-230.4,-97.7
-230.5,-98.0
-230.6,-98.1
-230.6,-98.2
-230.7,-98.2
-230.7,-98.1
-230.7,-98.0
-230.8,-98.0
-230.8,-98.1
-230.8,-98.2
-230.9,-98.3
-231.0,-98.4
-231.0,-98.5
-231.0,-98.6
-231.0,-98.6
-230.8,-98.6
-230.8,-98.7
-230.7,-98.7
-230.6,-98.8
-230.6,-98.9
-230.5,-98.9
-230.4,-99.0
-230.6,-99.2
